municipios,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado) (Toneladas)
Abadia dos Dourados,0,0,0,0,0,0,0,0,0,0
Abaeté,0,0,0,0,0,0,0,0,0,0
Abre Campo,0,22,0,0,7,0,0,1,0,1
Acaiaca,0,3,0,0,3,0,0,1,0,0
Açucena,0,3,0,0,1,0,0,1,0,0
Água Boa,0,19,1,3,7,0,0,11,1,1324
Água Comprida,0,15,0,0,0,0,0,0,2,0
Aguanil,0,8,0,0,1,0,0,3,0,0
Águas Formosas,0,1,0,0,1,0,0,0,0,0
Águas Vermelhas,0,15,0,1,3,0,0,0,0,0
Aimorés,0,6,0,0,4,0,0,0,0,839
Aiuruoca,0,1,0,0,0,0,0,0,0,0
Alagoa,0,1,0,0,0,0,0,0,0,0
Albertina,0,11,0,0,0,0,0,0,0,0
Além Paraíba,0,0,0,0,0,0,0,0,0,0
Alfenas,35,316,0,4,73,4,0,44,19,148
Alfredo Vasconcelos,0,30,0,0,0,0,1780,700,0,1490
Almenara,0,27,0,1,6,0,0,0,0,0
Alpercata,0,0,0,5,3,0,0,0,0,10
Alpinópolis,0,60,0,0,5,0,0,11,5,0
Alterosa,0,10,0,0,3,0,0,0,0,0
Alto Caparaó,0,12,0,0,4,0,0,0,0,0
Alto Rio Doce,0,0,0,0,0,0,0,0,0,0
Alvarenga,0,9,0,0,3,0,0,0,0,0
Alvinópolis,0,28,0,0,6,2,0,3,1,0
Alvorada de Minas,0,0,0,0,0,0,0,0,0,0
Amparo do Serra,0,10,0,0,6,0,0,1,0,268
Andradas,0,645,176,470,126,2,0,22,7,3130
Cachoeira de Pajeú,0,21,0,4,8,0,0,8,3,5
Andrelândia,0,0,0,0,0,0,0,0,0,0
Angelândia,0,4,0,4,1,0,0,21,0,48
Antônio Carlos,0,3,0,6,1,0,527,1528,0,994
Antônio Dias,0,17,0,0,5,0,0,4,0,36
Araçaí,0,0,0,0,1,0,0,0,0,0
Aracitaba,0,0,0,0,0,0,0,0,0,0
Araçuaí,0,16,0,5,6,0,0,3,0,79
Araguari,24,697,0,0,141,4,0,26,19,32456
Arantina,0,0,0,0,0,0,0,0,0,0
Araponga,0,2,0,0,4,0,0,0,0,0
Araporã,0,0,0,0,0,0,0,0,0,0
Arapuá,0,0,0,0,0,0,0,0,0,295
Araújos,0,72,0,0,1,0,0,0,0,0
Araxá,7,326,0,0,42,6,0,25,18,18
Arceburgo,0,34,0,0,5,0,0,23,0,0
Arcos,0,22,0,0,7,0,0,0,0,630
Areado,0,17,0,0,1,0,0,1,0,0
Argirita,0,1,0,0,1,0,0,0,0,0
Aricanduva,0,9,0,3,3,0,0,17,0,0
Arinos,0,41,0,0,2,0,0,0,0,5
Astolfo Dutra,0,8,0,0,0,0,0,0,0,0
Ataléia,0,9,0,1,24,0,0,1,0,15
Augusto de Lima,0,1,0,0,0,0,0,0,0,0
Baependi,0,23,0,0,2,0,0,2,0,0
Baldim,0,30,0,0,2,0,0,0,0,1342
Bambuí,0,47,0,0,7,0,0,38,2,11
Bandeira,0,4,0,0,2,0,0,1,0,0
Bandeira do Sul,0,12,0,0,0,0,0,0,0,0
Barão de Cocais,0,8,0,0,4,0,0,0,0,0
