municipios,Abacate,Café (em grão) Total,Maçã,Pêssego,Uva,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado)
Brasil,212873,2683644,1307642,250449,1743430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abadia dos Dourados,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaeté,0,0,0,0,0,0,0,0,1,0,0,22,0,0,7,0,0,1,0,1
Abre Campo,0,3140,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,1,0,0
Acaiaca,0,3,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0
Açucena,0,10,0,0,0,16,8,7,10,3,0,19,1,3,7,0,0,11,1,1324
Água Boa,0,2150,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,2,0
Água Comprida,0,0,0,0,0,4,1,0,4,2,0,8,0,0,1,0,0,3,0,0
Aguanil,0,1801,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Águas Formosas,0,0,0,0,0,1,2,0,0,5,0,15,0,1,3,0,0,0,0,0
Águas Vermelhas,0,1211,0,0,0,2,0,0,3,49,0,6,0,0,4,0,0,0,0,839
Aimorés,108,2480,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aiuruoca,0,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alagoa,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Albertina,0,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Além Paraíba,0,0,0,0,0,46,26,69,47,6,35,316,0,4,73,4,0,44,19,148
Alfenas,0,14566,0,0,0,104,0,0,39,378,0,30,0,0,0,0,1780,700,0,1490
Alfredo Vasconcelos,3,0,0,117,0,2,1,0,0,5,0,27,0,1,6,0,0,0,0,0
Almenara,0,440,0,0,0,12,0,0,120,0,0,0,0,5,3,0,0,0,0,10
Alpercata,0,0,0,0,0,41,11,0,32,1,0,60,0,0,5,0,0,11,5,0
Alpinópolis,0,7710,0,0,23,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0
Alterosa,0,6867,0,0,3,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0
Alto Caparaó,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Rio Doce,0,0,0,0,0,0,0,0,2,0,0,9,0,0,3,0,0,0,0,0
Alvarenga,0,525,0,0,0,0,0,0,0,1,0,28,0,0,6,2,0,3,1,0
Alvinópolis,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvorada de Minas,0,5,0,0,0,0,0,0,1,0,0,10,0,0,6,0,0,1,0,268
Amparo do Serra,0,196,0,0,0,382,487,0,0,0,0,645,176,470,126,2,0,22,7,3130
Andradas,0,9950,0,30,300,3,8,14,5,2,0,21,0,4,8,0,0,8,3,5
Cachoeira de Pajeú,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrelândia,0,420,0,0,2,14,6,2,9,11,0,4,0,4,1,0,0,21,0,48
Angelândia,0,2812,0,0,2,63,15,0,19,109,0,3,0,6,1,0,527,1528,0,994
Antônio Carlos,120,0,108,165,7,0,0,0,18,0,0,17,0,0,5,0,0,4,0,36
Antônio Dias,0,1,0,0,0,506,0,0,122,0,0,0,0,0,1,0,0,0,0,0
Antônio Prado de Minas,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araçaí,0,0,0,0,0,7,7,0,1,7,0,16,0,5,6,0,0,3,0,79
Aracitaba,0,0,0,0,0,1039,0,0,1063,943,24,697,0,0,141,4,0,26,19,32456
Araçuaí,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araguari,210,27550,0,0,20,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
Arantina,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araponga,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
Araporã,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0
Arapuá,0,997,0,0,0,6,0,0,44,5,7,326,0,0,42,6,0,25,18,18
Araújos,0,0,0,0,0,9,0,20,13,0,0,34,0,0,5,0,0,23,0,0
Araxá,160,4480,0,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,630
Arceburgo,12,1120,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,1,0,0
Arcos,0,0,0,0,0,0,0,0,54,0,0,1,0,0,1,0,0,0,0,0
Areado,0,4486,0,0,0,3,4,4,1,4,0,9,0,3,3,0,0,17,0,0
Argirita,0,0,0,0,0,4,0,0,12,5,0,41,0,0,2,0,0,0,0,5
Aricanduva,13,376,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
