municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Abadia dos Dourados,235,2,0,0,0,7,0,0,0,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Abaeté,88,0,0,0,0,8,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0
Abre Campo,4117,0,0,0,0,15,0,0,0,4100,4100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acaiaca,9,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Açucena,44,2,0,0,0,32,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
Água Boa,2715,2,0,0,0,100,0,0,0,2590,2310,280,0,0,0,0,2,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,9,0,2,0,0,0
Água Comprida,399,0,0,0,0,6,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguanil,1957,20,0,0,0,13,0,0,0,1917,1917,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Águas Formosas,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0
Águas Vermelhas,866,0,0,0,0,60,0,0,0,798,798,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimorés,1815,0,0,0,0,50,0,0,8,1650,680,970,0,0,0,0,80,0,0,0,1,0,4,3,0,0,8,0,0,0,0,0,0,7,0,4,0,0,0
Aiuruoca,51,0,0,0,40,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alagoa,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albertina,1500,0,0,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Além Paraíba,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfenas,12894,0,0,0,0,90,0,0,0,12785,12785,0,0,0,0,0,0,0,0,0,10,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Alfredo Vasconcelos,79,10,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,2,1,10,0,2,5,0,0,0,0,15,0,0,0,0,0,2
Almenara,198,2,0,0,0,35,0,0,50,70,50,20,0,0,0,0,18,0,0,0,0,0,5,5,0,2,5,0,0,0,0,0,0,0,0,5,0,1,0
Alpercata,19,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0
Alpinópolis,6608,0,0,0,0,0,0,0,0,6600,6600,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
Alterosa,5396,0,0,0,0,0,0,0,0,5335,5335,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alto Caparaó,2556,2,0,0,0,4,0,0,0,2550,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto Rio Doce,78,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,1
Alvarenga,50,0,0,0,0,23,0,0,0,16,8,8,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvinópolis,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvorada de Minas,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amparo do Serra,386,0,0,0,0,21,0,0,0,360,360,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Andradas,7752,8,0,0,40,720,0,0,0,6900,6900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,5,0,0,70
Cachoeira de Pajeú,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
Andrelândia,564,0,0,0,0,0,0,0,0,310,310,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,2,0,0,0,0,0,0,0,40,0,0,2
Angelândia,3764,0,0,0,0,21,0,0,0,3720,3720,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
Antônio Carlos,237,10,0,0,14,1,0,0,0,0,0,0,0,150,0,0,0,0,0,0,13,0,2,0,20,0,0,2,0,0,0,0,17,0,0,6,0,0,2
Antônio Dias,55,0,0,0,0,11,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antônio Prado de Minas,39,0,0,0,0,2,0,0,0,37,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araçaí,18,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Aracitaba,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araçuaí,430,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0
Araguari,13958,12,0,0,0,215,310,0,0,13175,13175,0,0,0,0,0,72,0,0,0,8,0,7,6,0,15,25,85,0,0,22,0,0,1,0,2,0,0,3
Arantina,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araponga,4423,6,0,0,0,11,0,0,0,4400,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Araporã,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapuá,773,2,0,0,0,0,0,0,0,770,770,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araújos,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Araxá,3483,52,0,0,0,0,0,0,0,3403,3403,0,0,0,0,0,0,0,0,0,1,0,20,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Arceburgo,1826,2,0,0,0,4,0,0,0,1740,1740,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcos,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Areado,2918,0,0,0,0,65,0,0,0,2850,2850,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argirita,31,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
