municipios,Bovino,Bubalino,Equino,Suíno - matrizes de suínos,Caprino,Ovino,Galináceos - galinhas,Codornas
Abadia dos Dourados,51915,57,1413,295,51,0,15000,0
Abaeté,99276,52,2283,485,0,57,17500,0
Abre Campo,23244,42,616,4982,148,39,8500,0
Acaiaca,4575,0,222,65,26,0,1800,0
Açucena,41077,123,1422,302,64,19,8900,0
Água Boa,63653,402,2018,641,142,106,20000,0
Água Comprida,7085,0,234,15,0,177,700,0
Aguanil,14414,0,509,87,23,56,2500,0
Águas Formosas,45804,14,2451,615,69,466,5500,0
Águas Vermelhas,8320,0,476,194,132,210,5600,0
Aimorés,73494,0,1796,214,302,656,6350,0
Aiuruoca,26301,309,2012,237,12,143,4200,0
Alagoa,7747,111,368,67,73,62,1050,0
Albertina,1733,0,111,33,86,0,500,0
Além Paraíba,31445,0,1208,89,155,126,3500,0
Alfenas,27260,38,1066,350,320,330,7500,0
Alfredo Vasconcelos,6148,0,182,38,24,19,800,0
Almenara,67746,0,3899,488,281,502,7150,610
Alpercata,14328,83,728,43,5,148,900,0
Alpinópolis,28699,444,801,341,77,508,10800,0
Alterosa,21226,13,664,455,0,103,9250,0
Alto Caparaó,819,0,48,28,76,78,640,0
Alto Rio Doce,21811,492,718,431,61,1,9000,0
Alvarenga,14897,0,527,41,27,32,5500,0
Alvinópolis,19772,27,796,431,28,42,7500,0
Alvorada de Minas,14189,52,525,118,0,24,2300,0
Amparo do Serra,7487,0,583,1258,91,6,4200,0
Andradas,17615,20,650,370,149,181,7200,0
Cachoeira de Pajeú,15214,18,590,212,9,129,6500,0
Andrelândia,29972,4,776,126,15,0,3300,0
Angelândia,2577,0,254,182,16,6,8500,0
Antônio Carlos,19708,34,986,38,204,521,3600,0
Antônio Dias,12534,95,444,98,8,26,2000,0
Antônio Prado de Minas,6935,0,103,37,0,0,1770,0
Araçaí,6596,0,374,35,15,0,1300,0
Aracitaba,5882,0,220,25,27,2,2100,0
Araçuaí,38465,52,3035,732,256,454,22000,0
Araguari,150854,111,3282,6916,45,316,5500,0
Arantina,2981,8,121,15,13,17,650,0
Araponga,5721,0,122,35,50,32,650,0
Araporã,4860,0,98,35,0,105,510,0
Arapuá,19001,3,400,161,22,0,4000,0
Araújos,25233,98,391,65,7,12,8500,0
Araxá,55820,46,2511,168,60,677,8000,0
Arceburgo,13151,12,233,30,60,241,23000,0
Arcos,30974,997,1024,206,66,258,14000,0
Areado,18209,74,226,179,0,0,3600,0
Argirita,11340,0,370,38,145,39,1740,0
Aricanduva,6975,0,469,162,26,0,11500,0
Arinos,107813,12,3667,1077,623,1082,11250,0
Astolfo Dutra,11245,0,214,14,15,395,500,0
Ataléia,114287,32,5471,484,327,452,8500,0
Augusto de Lima,31723,66,1103,73,137,88,3700,0
Baependi,37554,2,3263,119,30,120,4000,0
Baldim,16977,2,871,106,688,561,3500,0
Bambuí,82698,556,3496,1858,44,144,16000,0
Bandeira,21293,9,1014,184,69,138,4250,0
Bandeira do Sul,2757,0,80,22,10,15,750,0
Barão de Cocais,3270,0,511,22,27,67,1500,0
Barão do Monte Alto,16236,0,573,105,107,25,1382,0
Barbacena,29259,711,1752,1096,775,971,14000,0
Barra Longa,17089,0,703,86,36,10,4500,0
Barroso,3843,0,158,62,0,0,1725,0
Bela Vista de Minas,1707,0,210,0,0,0,525,0
Belmiro Braga,18512,2,690,69,13,129,1950,0
Belo Horizonte,602,0,717,34,54,91,325,0
Belo Oriente,7515,44,677,103,41,96,4000,0
Belo Vale,16027,6,770,61,2,51,4700,0
Berilo,9664,0,773,388,76,0,7600,0
Bertópolis,31287,28,1048,160,34,174,1450,0
Berizal,14937,0,326,95,65,132,1400,0
Betim,7989,13,1522,44,71,65,8000,0
Bias Fortes,14904,3,558,59,0,53,2500,0
Bicas,10170,7,544,21,27,26,1000,0
Biquinhas,23697,40,830,376,0,7,6000,0
Boa Esperança,23924,12,2421,731,44,77,17000,0
Bocaina de Minas,14090,67,713,88,76,143,2700,0
Bocaiúva,77098,15,4494,949,87,325,30000,320
Bom Despacho,78845,317,2486,5272,116,339,399400,600
